央视,#genre#
东南卫视,http://ip.52kk.vip:4022/udp/239.76.252.190:9000$湖南电信
海南卫视,http://ip.52kk.vip:4022/udp/239.76.253.203:9000$湖南电信
广东卫视,http://ip.52kk.vip:4022/udp/239.76.252.189:9000$湖南电信
湖北卫视,http://ip.52kk.vip:4022/udp/239.76.253.193:9000$湖南电信
广西卫视,http://ip.52kk.vip:4022/udp/239.76.254.54:9000$湖南电信
山东卫视,http://ip.52kk.vip:4022/udp/239.76.253.195:9000$湖南电信
四川卫视,http://ip.52kk.vip:4022/udp/239.76.253.91:9000$湖南电信
重庆卫视,http://ip.52kk.vip:4022/udp/239.76.253.92:9000$湖南电信
云南卫视,http://ip.52kk.vip:4022/udp/239.76.254.60:9000$湖南电信
河南卫视,http://ip.52kk.vip:4022/udp/239.76.253.202:9000$湖南电信
贵州卫视,http://ip.52kk.vip:4022/udp/239.76.252.198:9000$湖南电信
河北卫视,http://ip.52kk.vip:4022/udp/239.76.252.199:9000$湖南电信
吉林卫视,http://ip.52kk.vip:4022/udp/239.76.253.201:9000$湖南电信
陕西卫视,http://ip.52kk.vip:4022/udp/239.76.254.76:9000$湖南电信
甘肃卫视,http://ip.52kk.vip:4022/udp/239.76.253.94:9000$湖南电信
青海卫视,http://ip.52kk.vip:4022/udp/239.76.254.132:9000$湖南电信
浙江卫视,http://ip.52kk.vip:4022/udp/239.76.246.182:1234$湖南电信
重庆卫视,http://ip.52kk.vip:4022/udp/239.76.246.92:1234$湖南电信
安徽卫视,http://ip.52kk.vip:4022/udp/239.76.245.196:1234$湖南电信
东方卫视,http://ip.52kk.vip:4022/udp/239.76.246.186:1234$湖南电信
东南卫视,http://ip.52kk.vip:4022/udp/239.76.245.190:1234$湖南电信
甘肃卫视,http://ip.52kk.vip:4022/udp/239.76.246.94:1234$湖南电信
青海卫视,http://ip.52kk.vip:4022/udp/239.76.247.132:1234$湖南电信
三沙卫视,http://ip.52kk.vip:4022/udp/239.76.246.74:1234$湖南电信
山东卫视,http://ip.52kk.vip:4022/udp/239.76.246.195:1234$湖南电信
陕西卫视,http://ip.52kk.vip:4022/udp/239.76.247.76:1234$湖南电信
深圳卫视,http://ip.52kk.vip:4022/udp/239.76.246.188:1234$湖南电信
